Unnamed: 0,Ticker,Name,Last,SectorCode,IndCode,Price,MktCap,Vol3MAvg,Pr52W%Chg,Pr4W%Chg,Pr4WRel%ChgInd,Pr4WRel%Chg,Yield,PEExclXorPTM,PEG,PERelative,ProjPECurFY,ProjPENextFY,Pr2BookQ,Pr2NetFrCashFlTTM,Pr2SalesTTM
19,MPWR:USA 3M 1Y 3YMPWR:USA3M1Y3Y Customize...,Monolithic Power Systems Inc,398.56,TECH,SEMIMFR,398.56,18582.86,10.29,12.55,-4.35,-2.15,1.71,0.75,83.17,1.25,27.85,34.2,29.09,14.5,145.13,14.45
20,MRC:USA 3M 1Y 3YMRC:USA3M1Y3Y Customize...,MRC Global Inc,9.37,INDUSTRIAL,INDLDIST,9.37,782.24,14.36,-6.49,-6.95,-1.9,-0.89,0.0,,,,11.8,8.32,2.33,,0.28
21,MRCY:USA 3M 1Y 3YMRCY:USA3M1Y3Y Customize...,Mercury Systems Inc,56.37,INDUSTRIAL,AERODEF,56.37,3133.89,8.53,-14.64,-4.49,0.14,1.57,0.0,49.36,,93.31,23.52,21.12,2.1,,3.33
22,MRK:USA 3M 1Y 3YMRK:USA3M1Y3Y Customize...,Merck & Co Inc,84.62,HEALTHCARE,BIOPHARMAOTHER,84.62,213951.2,246.21,10.25,-8.11,-1.84,-2.05,3.26,28.26,0.89,0.19,11.46,11.4,5.25,35.36,3.95
23,MRO:USA 3M 1Y 3YMRO:USA3M1Y3Y Customize...,Marathon Oil Corp,24.15,ENERGY,FOSSILFUEL,24.15,17315.55,444.38,79.69,-10.16,2.26,-4.1,1.33,,0.29,,4.98,5.79,1.56,7.93,2.86
24,MRTN:USA 3M 1Y 3YMRTN:USA3M1Y3Y Customize...,Marten Transport Ltd,16.23,INDUSTRIAL,TRAINTRUCK,16.23,1330.0,10.98,-2.05,-1.76,-2.27,4.3,1.48,19.63,,22.92,12.5,12.23,2.08,,1.3
25,MRVI:USA 3M 1Y 3YMRVI:USA3M1Y3Y Customize...,Maravai LifeSciences Holdings Inc,26.64,HEALTHCARE,HCAREOUTSOURCE,26.64,3502.89,33.52,-40.2,-18.31,1.4,-12.25,0.0,51.33,,,14.5,20.82,17.78,14.22,7.6
26,MRVL:USA 3M 1Y 3YMRVL:USA3M1Y3Y Customize...,Marvell Technology Inc,46.04,TECH,SEMIMFR,46.04,39157.02,213.18,-16.02,-15.18,-2.15,-9.12,0.52,,0.83,,19.74,15.58,2.52,62.39,7.69
27,MS:USA 3M 1Y 3YMS:USA3M1Y3Y Customize...,Morgan Stanley,72.9,FINANCIAL,INVESTSVCE,72.9,128023.58,181.72,-15.17,-8.83,5.55,-2.77,3.84,10.85,2.59,22.8,9.76,8.66,1.34,2.24,2.12
28,MSA:USA 3M 1Y 3YMSA:USA3M1Y3Y Customize...,MSA Safety Inc,114.76,INDUSTRIAL,MACHINE,114.76,4514.18,3.11,-29.05,-4.5,-0.2,1.56,1.6,56.47,,85.61,22.08,20.42,5.29,67.94,3.19
29,MSCI:USA 3M 1Y 3YMSCI:USA3M1Y3Y Customize...,MSCI Inc,386.71,TECH,INTERNET,386.71,31388.53,12.63,-25.0,-5.69,-3.11,0.37,1.08,63.87,2.24,21.03,33.96,29.61,,52.63,14.97
30,MSFT:USA 3M 1Y 3YMSFT:USA3M1Y3Y Customize...,Microsoft Corp,247.65,TECH,SOFTW,247.65,1853164.9,670.28,-5.7,-2.17,-1.68,3.89,1.0,34.36,1.54,3.94,26.66,23.08,11.45,40.62,9.69
31,MSGE:USA 3M 1Y 3YMSGE:USA3M1Y3Y Customize...,Madison Square Garden Entertainment Corp,55.26,CONSUMERSVCE,HOSPITALITY,55.26,1890.33,4.34,-36.38,-15.36,-0.05,-9.3,0.0,,,,,108.52,0.9,,1.38
32,MSGS:USA 3M 1Y 3YMSGS:USA3M1Y3Y Customize...,Madison Square Garden Sports Corp,150.77,CONSUMERSVCE,HOSPITALITY,150.77,3652.7,2.32,-13.0,-7.23,-0.05,-1.17,0.0,,,,331.45,115.41,,89.22,4.64
33,MSI:USA 3M 1Y 3YMSI:USA3M1Y3Y Customize...,Motorola Solutions Inc,202.84,TECH,COMMEQUIP,202.84,33995.98,18.37,-4.01,-3.53,0.96,2.53,1.56,34.9,,32.44,20.51,18.27,,39.94,4.24
34,MSM:USA 3M 1Y 3YMSM:USA3M1Y3Y Customize...,MSC Industrial Direct Co Inc.,72.91,INDUSTRIAL,INDLDIST,72.91,4071.17,8.82,-18.42,-11.29,-1.9,-5.23,4.11,26.87,1.04,16.85,12.08,11.41,3.33,,1.2
35,MSP:USA 3M 1Y 3YMSP:USA3M1Y3Y Customize...,Datto Holding Corp,34.78,TECH,SOFTW,34.78,5734.93,32.49,30.02,3.14,-1.68,9.2,0.0,109.01,,,59.89,48.02,3.16,100.11,9.04
36,MSTR:USA 3M 1Y 3YMSTR:USA3M1Y3Y Customize...,MicroStrategy Inc,167.6,TECH,SOFTW,167.6,1893.54,17.83,-71.29,-20.48,-1.68,-14.42,0.0,,,,,492.94,2.19,,3.73
37,MTB:USA 3M 1Y 3YMTB:USA3M1Y3Y Customize...,M&T Bank Corp,162.34,FINANCIAL,BANKSUSA,162.34,20954.82,32.44,9.95,-0.34,4.64,5.72,2.96,14.39,0.83,33.89,12.72,8.99,1.3,13.42,3.32
38,MTCH:USA 3M 1Y 3YMTCH:USA3M1Y3Y Customize...,Match Group Inc,68.56,TECH,INTERNET,68.56,19572.85,68.99,-55.98,-8.65,-3.11,-2.59,0.0,80.19,0.43,,26.51,22.43,,22.01,6.76
39,MTD:USA 3M 1Y 3YMTD:USA3M1Y3Y Customize...,Mettler-Toledo International Inc,1097.8,HEALTHCARE,HCAREMISC,1097.8,24898.44,2.79,-19.55,-9.99,-2.71,-3.94,0.0,45.68,1.46,7.29,28.65,25.72,299.08,34.24,6.64
40,MTDR:USA 3M 1Y 3YMTDR:USA3M1Y3Y Customize...,Matador Resources Co,51.2,ENERGY,FOSSILFUEL,51.2,6045.0,45.72,50.94,2.56,2.26,8.62,0.39,,0.2,11.41,4.61,5.22,2.9,19.96,2.8
41,MTG:USA 3M 1Y 3YMTG:USA3M1Y3Y Customize...,MGIC Investment Corp,11.75,FINANCIAL,INSURANCE,11.75,3672.83,61.99,-15.47,-11.85,1.28,-5.79,2.72,11.01,1.14,21.07,5.52,5.45,0.83,6.13,3.23
42,MTH:USA 3M 1Y 3YMTH:USA3M1Y3Y Customize...,Meritage Homes Corp,65.79,CYCLICALS,HOMEBUILDMANUF,65.79,2414.17,8.35,-31.08,-19.0,-10.22,-12.94,0.0,8.43,0.08,-8.5,2.43,2.7,0.78,,0.46
43,MTN:USA 3M 1Y 3YMTN:USA3M1Y3Y Customize...,Vail Resorts Inc.,226.82,CONSUMERSVCE,HOSPITALITY,226.82,9172.6,8.14,-29.32,-3.13,-0.05,2.93,3.37,121.09,,3.69,27.22,25.21,5.04,22.68,3.75
44,MTOR:USA 3M 1Y 3YMTOR:USA3M1Y3Y Customize...,Meritor Inc,35.94,INDUSTRIAL,TRANSPORTEQUIP,35.94,2544.55,26.15,59.8,0.0,-1.25,6.06,0.0,32.34,,30.35,9.85,7.99,3.78,,0.63
45,MTRN:USA 3M 1Y 3YMTRN:USA3M1Y3Y Customize...,Materion Corp,69.39,MATERIALS,CHEMSPECIAL,69.39,1416.53,2.12,-9.57,-12.82,-4.23,-6.76,0.72,38.39,0.85,8.22,13.17,11.34,1.97,,0.9
46,MTSI:USA 3M 1Y 3YMTSI:USA3M1Y3Y Customize...,MACOM Technology Solutions Holdings Inc,45.48,TECH,SEMIMFR,45.48,3179.51,9.71,-23.06,-13.8,-2.15,-7.74,0.0,,0.98,,16.43,14.84,5.83,23.19,5.11
47,MTX:USA 3M 1Y 3YMTX:USA3M1Y3Y Customize...,Minerals Technologies Inc.,57.93,MATERIALS,MATOTHER,57.93,1909.71,2.86,-26.83,-10.34,-3.94,-4.28,0.35,24.53,0.8,14.66,10.26,9.15,1.23,21.91,1.0
48,MTZ:USA 3M 1Y 3YMTZ:USA3M1Y3Y Customize...,MasTec Inc.,69.4,INDUSTRIAL,FACIL,69.4,5299.25,14.71,-33.0,-11.25,-1.28,-5.19,0.0,24.05,0.79,77.84,15.86,11.31,2.07,11.23,0.64
49,MU:USA 3M 1Y 3YMU:USA3M1Y3Y Customize...,Micron Technology Inc.,55.75,TECH,SEMIMFR,55.75,62328.5,437.83,-27.66,-19.67,-2.15,-13.61,0.72,32.78,0.18,13.78,5.79,4.41,1.32,13.59,2.02
50,MUR:USA 3M 1Y 3YMUR:USA3M1Y3Y Customize...,Murphy Oil Corp,33.64,ENERGY,FOSSILFUEL,33.64,5226.67,40.38,34.94,-1.55,2.26,4.51,2.08,,0.13,,5.93,4.34,1.29,6.8,1.69
51,MUSA:USA 3M 1Y 3YMUSA:USA3M1Y3Y Customize...,Murphy USA Inc,219.95,CYCLICALS,RETAILOTHER,219.95,5323.14,7.08,69.54,-7.72,1.0,-1.66,0.56,11.46,,23.6,13.3,17.05,6.97,10.46,0.29
52,MWA:USA 3M 1Y 3YMWA:USA3M1Y3Y Customize...,Mueller Water Products Inc,11.08,INDUSTRIAL,MACHINE,11.08,1739.41,20.73,-19.48,-3.9,-0.2,2.16,2.09,30.83,1.33,21.82,16.62,14.91,2.47,,1.47
53,MX:USA 3M 1Y 3YMX:USA3M1Y3Y Customize...,MagnaChip Semiconductor Corp,16.8,TECH,SEMIMFR,16.8,754.23,10.86,-30.06,-16.5,-2.15,-10.44,0.0,11.27,0.74,,19.16,11.86,1.7,17.44,1.72
54,MXL:USA 3M 1Y 3YMXL:USA3M1Y3Y Customize...,MaxLinear Inc,34.57,TECH,SEMIMFR,34.57,2674.85,19.89,-11.11,-10.21,-2.15,-4.15,0.0,,0.27,,8.54,7.9,5.28,12.42,2.94
55,NARI:USA 3M 1Y 3YNARI:USA3M1Y3Y Customize...,Inari Medical Inc,60.91,HEALTHCARE,MEDDEVICESOTHER,60.91,3229.63,15.26,-35.67,2.16,-3.2,8.22,0.0,384.19,,,,,7.41,,10.13
56,NAT:USA 3M 1Y 3YNAT:USA3M1Y3Y Customize...,Nordic American Tankers Ltd,1.89,ENERGY,OILGASSUPPORT,1.89,373.73,180.52,-45.22,-32.5,-2.54,-26.44,4.23,,,,,18.86,0.73,,1.83
57,NATI:USA 3M 1Y 3YNATI:USA3M1Y3Y Customize...,National Instruments Corporation,31.44,TECH,COMMERCIALELECTRONICS,31.44,4146.2,16.21,-25.94,-4.99,0.68,1.07,3.56,336.12,,5.83,15.55,13.58,3.47,,2.75
58,NAVI:USA 3M 1Y 3YNAVI:USA3M1Y3Y Customize...,Navient Corporation,13.19,FINANCIAL,FINSPECIAL,13.19,1961.94,39.35,-31.62,-15.29,-6.04,-9.23,4.85,3.59,,5.66,4.09,4.34,0.71,6.47,0.6
59,NBTB:USA 3M 1Y 3YNBTB:USA3M1Y3Y Customize...,NBT Bancorp Inc,35.98,FINANCIAL,BANKSUSA,35.98,1546.86,3.42,-3.38,2.36,4.64,8.42,3.11,12.76,,2.14,10.89,10.78,1.3,29.4,3.1
60,NCLH:USA 3M 1Y 3YNCLH:USA3M1Y3Y Customize...,Norwegian Cruise Line Holdings Ltd,11.43,CONSUMERSVCE,HOSPITALITY,11.43,4790.32,430.52,-63.58,-28.34,-0.05,-22.28,0.0,,,,,6.64,3.17,,4.09
61,NCNO:USA 3M 1Y 3YNCNO:USA3M1Y3Y Customize...,nCino Inc,31.57,FINANCIAL,FINSOFTW,31.57,3476.76,20.04,-51.62,3.99,-2.44,10.05,0.0,,,,,,3.3,,11.36
62,NCR:USA 3M 1Y 3YNCR:USA3M1Y3Y Customize...,NCR Corp,31.01,TECH,COMMERCIALELECTRONICS,31.01,4226.66,41.77,-30.73,-6.23,0.68,-0.17,0.0,,,,11.03,8.49,3.18,7.28,0.56
63,NDAQ:USA 3M 1Y 3YNDAQ:USA3M1Y3Y Customize...,Nasdaq Inc,148.85,FINANCIAL,INVESTSVCE,148.85,24484.11,18.96,-16.74,4.03,5.55,10.09,1.61,26.59,1.91,4.45,18.99,17.67,4.14,31.92,4.31
64,NDSN:USA 3M 1Y 3YNDSN:USA3M1Y3Y Customize...,Nordson Corp,195.36,INDUSTRIAL,MACHINE,195.36,11235.5,4.55,-11.02,-5.11,-0.2,0.95,1.04,42.3,1.29,18.07,20.98,19.63,5.21,31.97,4.58
65,NEM:USA 3M 1Y 3YNEM:USA3M1Y3Y Customize...,Newmont Corporation,63.76,MATERIALS,ORE,63.76,50944.24,134.32,0.52,-3.55,-1.85,2.5,3.45,19.56,,4.35,19.52,20.26,2.36,73.48,4.13
66,NEOG:USA 3M 1Y 3YNEOG:USA3M1Y3Y Customize...,Neogen Corp,22.84,HEALTHCARE,HCAREMISC,22.84,2462.57,12.79,-49.86,-12.42,-2.71,-6.36,0.0,77.54,,11.19,58.56,36.25,2.82,49.0,4.8
67,NET:USA 3M 1Y 3YNET:USA3M1Y3Y Customize...,Cloudflare Inc,41.21,TECH,INTERNET,41.21,13415.5,121.76,-59.23,-28.95,-3.11,-22.89,0.0,,31.09,,1406.63,483.28,25.85,,18.24
68,NEU:USA 3M 1Y 3YNEU:USA3M1Y3Y Customize...,NewMarket Corp,289.29,MATERIALS,CHEMSPECIAL,289.29,2966.58,0.6,-7.87,-13.58,-4.23,-7.52,2.9,15.28,,31.5,,,3.92,,1.21
69,NEWR:USA 3M 1Y 3YNEWR:USA3M1Y3Y Customize...,New Relic Inc,46.05,TECH,SOFTW,46.05,3072.82,22.35,-34.96,-1.71,-1.68,4.35,0.0,,,,,119.47,9.39,,3.86
70,NFE:USA 3M 1Y 3YNFE:USA3M1Y3Y Customize...,New Fortress Energy Inc,40.21,ENERGY,MIDSTREAMENERGY,40.21,8343.57,30.05,-1.42,-5.79,-5.26,0.27,0.99,,,,17.48,13.53,4.0,,5.02
71,NFLX:USA 3M 1Y 3YNFLX:USA3M1Y3Y Customize...,Netflix Inc,175.51,TECH,INTERNET,175.51,77974.5,268.48,-64.69,-4.34,-3.11,1.72,0.0,61.21,0.76,-0.55,16.06,14.64,4.53,,2.62
72,NGVT:USA 3M 1Y 3YNGVT:USA3M1Y3Y Customize...,Ingevity Corp,61.4,MATERIALS,CHEMSPECIAL,61.4,2377.31,4.05,-23.98,-9.75,-4.23,-3.69,0.0,16.98,1.03,21.89,10.18,9.1,3.51,13.98,1.66
73,NHI:USA 3M 1Y 3YNHI:USA3M1Y3Y Customize...,National Health Investors Inc.,60.76,FINANCIAL,REIT,60.76,2785.9,6.23,-7.91,8.71,-1.94,14.77,5.92,18.49,,104.61,22.97,19.51,1.88,160.98,9.82
74,NKE:USA 3M 1Y 3YNKE:USA3M1Y3Y Customize...,Nike Inc,107.34,CYCLICALS,APPARELPRODUCTS,107.34,169167.83,147.98,-17.48,0.85,1.66,6.91,1.14,62.56,1.73,12.31,29.09,23.86,11.67,48.46,3.69
75,NKLA:USA 3M 1Y 3YNKLA:USA3M1Y3Y Customize...,Nikola Corp,5.68,INDUSTRIAL,TRANSPORTEQUIP,5.68,2376.19,272.84,-64.81,-7.04,-1.25,-0.98,0.0,,,,,,3.79,,1249.64
76,NKTR:USA 3M 1Y 3YNKTR:USA3M1Y3Y Customize...,Nektar Therapeutics,3.47,HEALTHCARE,BIOPHARMAOTHER,3.47,646.37,77.61,-79.42,-11.25,-1.84,-5.19,0.0,,,,,,1.06,,6.26
77,NLOK:USA 3M 1Y 3YNLOK:USA3M1Y3Y Customize...,NortonLifeLock Inc,21.83,TECH,SOFTW,21.83,12705.06,121.4,-20.24,-8.12,-1.68,-2.06,2.29,28.81,,2.35,12.19,11.19,,19.47,4.63
78,NLS:USA 3M 1Y 3YNLS:USA3M1Y3Y Customize...,Nautilus Inc,2.06,CYCLICALS,LEISURE,2.06,64.41,17.85,-86.92,-19.22,-3.08,-13.16,0.0,,,,,,0.39,,0.11
79,NLSN:USA 3M 1Y 3YNLSN:USA3M1Y3Y Customize...,Nielsen Holdings plc,22.41,BIZSVCE,PROSVCE,22.41,8060.73,187.68,-10.36,-11.91,0.01,-5.85,1.07,236.36,23.58,,11.9,11.07,2.37,15.88,2.3
80,NLY:USA 3M 1Y 3YNLY:USA3M1Y3Y Customize...,Annaly Capital Management Inc,5.71,FINANCIAL,REIT,5.71,8342.38,685.79,-37.8,-8.93,-1.94,-2.87,15.41,2.92,,,5.73,6.1,0.84,3.13,16.28
81,NMRK:USA 3M 1Y 3YNMRK:USA3M1Y3Y Customize...,Newmark Group Inc,9.48,FINANCIAL,REALESTATESVCE,9.48,1799.71,35.35,-25.06,-14.67,-3.09,-8.61,1.27,32.77,,-0.99,5.14,4.81,1.9,14.14,0.56
82,NNI:USA 3M 1Y 3YNNI:USA3M1Y3Y Customize...,Nelnet Inc.,76.72,FINANCIAL,FINSPECIAL,76.72,2902.02,1.88,0.89,-5.54,-6.04,0.52,1.25,5.55,,2.51,10.89,12.48,0.95,4.95,1.96
83,NNN:USA 3M 1Y 3YNNN:USA3M1Y3Y Customize...,National Retail Properties Inc,41.15,FINANCIAL,REIT,41.15,7234.6,20.29,-14.13,-4.17,-1.94,1.89,5.15,39.83,5.37,18.61,21.93,21.32,1.85,37.51,9.77
84,NOC:USA 3M 1Y 3YNOC:USA3M1Y3Y Customize...,Northrop Grumman Corp,443.93,INDUSTRIAL,AERODEF,443.93,69067.34,17.23,18.92,-1.02,0.14,5.04,1.56,12.98,3.17,17.15,17.86,16.28,5.23,100.03,1.97
85,NOMD:USA 3M 1Y 3YNOMD:USA3M1Y3Y Customize...,Nomad Foods Ltd,19.29,NONCYCLICAL,FOODDRINKMFR,19.29,3357.16,22.62,-33.92,-4.46,3.06,1.6,0.0,20.19,1.01,0.8,10.65,9.82,1.28,22.1,1.1
86,NOV:USA 3M 1Y 3YNOV:USA3M1Y3Y Customize...,NOV Inc,16.47,ENERGY,OILGASSUPPORT,16.47,6469.75,76.99,1.17,-8.09,-2.54,-2.03,1.21,,,,56.81,19.73,1.29,,1.09
87,NOVT:USA 3M 1Y 3YNOVT:USA3M1Y3Y Customize...,Novanta Inc,112.27,INDUSTRIAL,MACHINE,112.27,4006.24,2.65,-12.8,-8.04,-0.2,-1.98,0.0,103.05,,27.94,37.36,31.71,7.51,102.59,5.37
88,NOW:USA 3M 1Y 3YNOW:USA3M1Y3Y Customize...,ServiceNow Inc,443.79,TECH,SOFTW,443.79,88960.81,36.02,-17.01,3.99,-1.68,10.05,0.0,671.85,1.8,,60.44,47.33,22.52,46.34,14.38
89,NP:USA 3M 1Y 3YNP:USA3M1Y3Y Customize...,Neenah Inc,32.92,MATERIALS,MATOTHER,32.92,552.66,1.9,-35.03,-11.43,-3.94,-5.37,5.77,,,,10.52,7.27,1.8,,0.51
90,NPO:USA 3M 1Y 3YNPO:USA3M1Y3Y Customize...,EnPro Industries Inc.,83.3,INDUSTRIAL,MACHINE,83.3,1732.63,1.79,-12.77,-12.74,-0.2,-6.68,1.34,,0.99,4.28,11.97,10.86,1.38,15.35,1.46
91,NRZ:USA 3M 1Y 3YNRZ:USA3M1Y3Y Customize...,New Residential Investment Corp,8.65,FINANCIAL,REIT,8.65,4037.7,133.08,-19.08,-19.53,-1.94,-13.48,11.56,10.9,,0.74,6.12,5.57,0.71,0.62,1.24
92,NSA:USA 3M 1Y 3YNSA:USA3M1Y3Y Customize...,National Storage Affiliates Trust,45.96,FINANCIAL,REIT,45.96,4203.58,17.7,-8.85,-4.29,-1.94,1.77,4.79,66.72,3.52,-0.11,33.96,31.34,2.75,23.2,6.46
93,NSC:USA 3M 1Y 3YNSC:USA3M1Y3Y Customize...,Norfolk Southern Corp,221.47,INDUSTRIAL,TRAINTRUCK,221.47,52783.5,28.2,-16.35,-2.88,-2.27,3.18,2.24,31.04,1.55,39.56,15.98,14.56,3.95,34.01,4.66
94,NSIT:USA 3M 1Y 3YNSIT:USA3M1Y3Y Customize...,Insight Enterprises Inc,87.81,TECH,TECHDISTRIB,87.81,3079.67,4.98,-11.8,-10.62,0.44,-4.56,0.0,19.89,0.98,39.87,10.91,9.94,2.11,,0.33
95,NSP:USA 3M 1Y 3YNSP:USA3M1Y3Y Customize...,Insperity Inc.,89.55,BIZSVCE,PROSVCE,89.55,3432.45,3.84,-4.59,-4.89,0.01,1.17,2.32,24.5,1.16,44.47,18.9,15.84,102.03,23.81,0.66
96,NTAP:USA 3M 1Y 3YNTAP:USA3M1Y3Y Customize...,NetApp Inc,63.76,TECH,COMPUTER,63.76,14027.2,40.02,-19.73,-6.59,-4.15,-0.53,3.14,25.09,1.34,1.76,11.69,10.49,17.35,26.97,2.3
97,NTB:USA 3M 1Y 3YNTB:USA3M1Y3Y Customize...,Bank Butterfield & Son Ltd,30.44,FINANCIAL,BANKSINTL,30.44,1509.6,2.85,-16.83,4.89,-1.2,10.95,5.78,12.65,1.24,20.45,7.75,6.73,1.8,9.86,2.88
98,NTCT:USA 3M 1Y 3YNTCT:USA3M1Y3Y Customize...,NetScout Systems Inc,32.93,TECH,SOFTW,32.93,2440.19,10.26,11.66,-5.94,-1.68,0.12,0.0,107.15,,8.9,16.52,15.01,1.18,8.18,2.85
99,NTGR:USA 3M 1Y 3YNTGR:USA3M1Y3Y Customize...,NETGEAR Inc,17.93,TECH,COMMEQUIP,17.93,522.86,4.82,-53.34,-6.61,0.96,-0.55,0.0,13.57,,,,15.73,0.83,,0.5
100,NTNX:USA 3M 1Y 3YNTNX:USA3M1Y3Y Customize...,Nutanix Inc,14.47,TECH,SOFTW,14.47,3245.4,53.87,-60.18,-31.49,-1.68,-25.43,0.0,,,,,,,,2.03
101,NTRS:USA 3M 1Y 3YNTRS:USA3M1Y3Y Customize...,Northern Trust Corp,91.68,FINANCIAL,INVESTSVCE,91.68,19104.26,17.76,-18.98,-10.12,5.55,-4.06,3.05,20.41,1.03,12.35,11.55,10.08,1.82,22.49,2.86
102,NTST:USA 3M 1Y 3YNTST:USA3M1Y3Y Customize...,NETSTREIT Corp,19.1,FINANCIAL,REIT,19.1,915.31,8.06,-19.1,-4.98,-1.94,1.08,4.19,867.92,7.13,,100.53,78.76,1.02,,12.66
103,NTUS:USA 3M 1Y 3YNTUS:USA3M1Y3Y Customize...,Natus Medical Inc,31.08,HEALTHCARE,MEDDEVICESOTHER,31.08,1074.63,10.62,7.39,-4.87,-3.2,1.19,0.0,,,,21.58,19.8,2.47,24.08,2.23
104,NUE:USA 3M 1Y 3YNUE:USA3M1Y3Y Customize...,Nucor Corp,113.99,MATERIALS,METAL,113.99,30328.4,65.06,18.91,-5.57,-3.1,0.49,1.75,18.69,,-0.77,4.31,9.44,2.04,5.24,0.78
